sample	condition	condition_conc
1A	None	0
1B	None	0
1C	None	0
1D	None	0
2A	IFNalpha+BMS-986202	3.60E-09
2B	IFNalpha+BMS-986202	3.60E-09
2C	IFNalpha+BMS-986202	3.60E-09
2D	IFNalpha+BMS-986202	3.60E-09
3A	IFNalpha+BMS-986202	2.00E-08
3B	IFNalpha+BMS-986202	2.00E-08
3C	IFNalpha+BMS-986202	2.00E-08
3D	IFNalpha+BMS-986202	2.00E-08
4A	IFNalpha+BMS-986202	1.00E-06
4B	IFNalpha+BMS-986202	1.00E-06
4C	IFNalpha+BMS-986202	1.00E-06
4D	IFNalpha+BMS-986202	1.00E-06
5A	IFNalpha+Zasocitinib	1.00E-06
5B	IFNalpha+Zasocitinib	1.00E-06
5C	IFNalpha+Zasocitinib	1.00E-06
5D	IFNalpha+Zasocitinib	1.00E-06
6A	IFNalpha+Ropsacitinib	1.00E-07
6B	IFNalpha+Ropsacitinib	1.00E-07
6C	IFNalpha+Ropsacitinib	1.00E-07
6D	IFNalpha+Ropsacitinib	1.00E-07
